,stock,concept,cause,nearest,reason,url,dt
361,博深股份,一带一路,雅万高铁+一带一路+机床上游+山东国资,,,3x90n923ne,2023-03-16
362,上海建科,一带一路,一带一路+工程监理+次新股,,,3x8sn0n14h,2023-03-16
363,播恩集团,农业,猪饲料+次新股,,,c58c7c6y7t,2023-03-16
364,星光农机,农业,采棉机+供销社+农业机械,,,ah8f3gpg44,2023-03-16
365,华绿生物,农业,食用菌生产企业+金针菇,,,ah8f3gpkcc,2023-03-16
366,中润资源,其他,金矿+加拿大锌业+剥离房地产,,,ff8efbmypb,2023-03-16
367,新亚电子,其他,新能源汽车+精细电子线材+光伏,,,298vj55q3f,2023-03-16
368,安奈儿,其他,童装+抗病毒抗菌面料+电子束接枝改性面料,,,3x90n92w6l,2023-03-16
369,麦趣尔,其他,乳制品+烘焙食品+新疆,,,5k8xs4les2,2023-03-16
370,宝地矿业,其他,铁矿+铁精粉+新疆+次新股,,,298vj55tyv,2023-03-16
371,路畅科技,其他,行驶记录仪+拟收购中联高机+无人驾驶,,,778lvrpd2j,2023-03-16
373,四川黄金,新股,金矿采选销售,,,778lvrpxsc,2023-03-16
374,亚光股份,新股,制药与节能环保装备,,,dt89b7r8s5,2023-03-16
