stock,inter,topic
闻泰科技[57.42/1.48%],,
赣锋锂业[65.84/-3.66%],天齐锂业(77.35/-3.42%)[5];宁德时代(388.0/-2.69%)[4];东方锆业(7.48/-2.35%)[2];中矿资源(69.05/-4.99%)[2],中国[4];碳酸锂[2];电池[2];项目[2];即将[2]
澜起科技[74.0/3.45%],兆易创新(130.56/-0.74%)[4];江波龙(103.89/-2.54%)[3];北京君正(110.24/9.91%)[2];佰维存储(61.34/19.99%)[2],存储[5];互联[3];半导体[2];炒作[2];芯片[2]
亿纬锂能[67.34/-2.41%],宁德时代(388.0/-2.69%)[4];恩捷股份(112.06/-1.63%)[4];璞泰来(49.1/-1.31%)[2];振华新材(39.44/-3.1%)[2];科达利(126.71/-3.27%)[2],美国[2];IRA[2];明确[2];指引[2];电动车[2]
中国建筑[6.16/5.3%],中国铁建(10.09/9.79%)[3];中国中铁(7.68/10.03%)[3];中国交建(11.65/9.29%)[3],一带[2];一路[2];天风[2]
汤姆猫[8.55/-0.81%],昆仑万维(49.5/-2.27%)[7];三六零(20.08/4.58%)[6];拓尔思(33.6/-0.59%)[5];拓维信息(15.67/-6.62%)[3];剑桥科技(45.5/10.01%)[3],AI[6];逻辑[3];人工智能[3];亿嘉[2];牛股[2]
西安饮食[16.21/3.05%],紫光国微(115.44/-0.64%)[3];三六零(20.08/4.58%)[2];荣盛石化(14.47/-3.02%)[2];垒知集团(6.33/-1.25%)[2],
易华录[46.5/16.63%],三六零(20.08/4.58%)[9];中国软件(70.09/-0.06%)[5];美亚柏科(26.57/13.06%)[5];太极股份(43.3/3.61%)[4];拓尔思(33.6/-0.59%)[3],关注[4];数据[4];数字[4];烽火[2];通信[2]
美的集团[54.63/-0.11%],,大幅[2]
昆仑万维[49.5/-2.27%],三六零(20.08/4.58%)[17];汤姆猫(8.55/-0.81%)[10];东方国信(14.42/-6.49%)[7];剑桥科技(45.5/10.01%)[6],AI[4];模型[4];烽火[3];通信[3];人工智能[3]
巨人网络[15.4/8.99%],,游戏[4];04[2];AI[2];传媒[2];中国[2]
传音控股[119.97/6.58%],宇信科技(21.5/12.51%)[5];启明信息(18.97/7.6%)[5];科大国创(28.38/0.92%)[4];绿盟科技(16.15/12.07%)[2],AI[7];手机[5];生成式[3];前景[3];展望[3]
紫光国微[115.44/-0.64%],三六零(20.08/4.58%)[5];西安饮食(16.21/3.05%)[5];普冉股份(188.0/1.2%)[4];荣盛石化(14.47/-3.02%)[3];垒知集团(6.33/-1.25%)[3],科技[5];芯片[4];AI[4];产品[3];存储芯片[3]
中国交建[11.65/9.29%],中国建筑(6.16/5.3%)[4];中国铁建(10.09/9.79%)[4];中国中铁(7.68/10.03%)[4],建筑[3];天风[2]
恒生电子[57.21/-0.63%],同花顺(226.97/-3.42%)[9];卫宁健康(14.08/-4.22%)[6];指南针(60.41/0.68%)[4];石基信息(26.24/-3.92%)[3];金桥信息(16.17/-3.46%)[3],AI[6];金融[6];IT[4];计算机[4];600570[3]
中国长城[13.44/-1.32%],海光信息(85.88/1.27%)[4];神州数码(31.6/-3.33%)[4];龙芯中科(157.5/2.75%)[4];易华录(46.5/16.63%)[3];中国软件(70.09/-0.06%)[3],AI[2];股票[2];CPU[2];计算机[2]
拓尔思[33.6/-0.59%],三六零(20.08/4.58%)[11];易华录(46.5/16.63%)[5];汤姆猫(8.55/-0.81%)[5];海天瑞声(240.11/2.72%)[5];中文在线(22.15/-6.54%)[5],AI[5];模型[5];数字[3];中文[3];人工智能[2]
光环新网[14.1/-2.35%],奥飞数据(15.52/-1.34%)[4];首都在线(18.76/2.12%)[2];铜牛信息(47.3/2.6%)[2],AI[4];算力[3];IDC[3];产业链[3];计算[3]
拓维信息[15.67/-6.62%],四川长虹(5.04/-0.4%)[14];神州数码(31.6/-3.33%)[14];三六零(20.08/4.58%)[12];浪潮信息(36.51/-3.03%)[11];润和软件(30.53/0.73%)[6],算力[4];模型[3];华为[3];盘古[3];逻辑[3]
新华网[30.28/-2.48%],美亚柏科(26.57/13.06%)[6];人民网(22.58/8.66%)[5];川网传媒(19.3/-0.62%)[2],AI[8];阿里[4];解析[3];审核[3];03[2]
