名称,代码,成交额,最新价,涨跌幅,60日涨跌幅,年初至今涨跌幅,dt
三安光电,600703,29.4,21.87,3.55,27.45,27.45,2023040314
电科网安,2268,28.6,40.79,4.72,33.61,33.61,2023040314
光环新网,300383,28.1,14.4,7.38,76.47,76.47,2023040314
软通动力,301236,27.9,55.43,10.86,57.56,57.56,2023040314
中国中免,601888,27.8,184.26,0.56,-14.71,-14.71,2023040314
中天科技,600522,27.3,17.73,3.74,9.78,9.78,2023040314
易华录,300212,26.8,39.65,4.81,94.27,94.27,2023040314
捷成股份,300182,26.7,6.97,3.87,55.93,55.93,2023040314
四维图新,2405,26.4,14.62,8.06,32.67,32.67,2023040314
中国长城,66,25.8,13.62,10.02,33.53,33.53,2023040314
完美世界,2624,25.4,18.6,9.28,46.23,46.23,2023040314
牧原股份,2714,25.3,49.93,1.9,2.42,2.42,2023040314
中信证券,600030,25.1,21.01,2.59,5.52,5.52,2023040314
神州泰岳,300002,24.4,10.58,12.31,143.78,143.78,2023040314
传音控股,688036,24.2,110.2,8.89,38.58,38.58,2023040314
歌尔股份,2241,23.9,21.76,1.68,29.29,29.29,2023040314
立昂微,605358,23.8,58.16,6.75,36.53,36.53,2023040314
卫宁健康,300253,23.7,14.69,5.91,42.9,42.9,2023040314
中油资本,617,23.5,7.22,3.44,29.62,29.62,2023040314
美亚柏科,300188,23.5,23.36,12.8,81.65,81.65,2023040314
人民网,603000,23.5,20.78,10.01,23.18,23.18,2023040314
常山北明,158,23.2,9.4,3.3,67.26,67.26,2023040314
晶瑞电材,300655,23.1,24.75,6.0,68.6,68.6,2023040314
赣锋锂业,2460,22.9,68.28,2.72,-1.77,-1.77,2023040314
东方证券,600958,22.5,10.56,7.87,18.12,18.12,2023040314
阳光电源,300274,22.5,105.63,0.73,-5.52,-5.52,2023040314
同方股份,600100,22.4,8.59,9.99,99.3,99.3,2023040314
中国卫通,601698,22.0,22.51,6.08,97.11,97.11,2023040314
士兰微,600460,21.7,37.43,1.13,14.15,14.15,2023040314
用友网络,600588,21.6,26.13,3.9,8.11,8.11,2023040314
东华软件,2065,21.2,8.68,4.58,53.36,53.36,2023040314
石基信息,2153,19.9,27.55,7.37,83.79,83.79,2023040314
三六零,601360,95.9,17.45,3.56,169.29,166.82,2023033114
科大讯飞,2230,63.9,63.39,7.86,91.51,93.09,2023033114
汤姆猫,300459,46.8,8.27,7.96,165.92,162.54,2023033114
拓尔思,300229,44.0,31.41,8.09,170.08,168.0,2023033114
荣盛石化,2493,40.5,15.1,1.41,23.47,22.76,2023033114
拓维信息,2261,39.3,15.54,-0.77,142.81,134.39,2023033114
浪潮信息,977,37.4,35.04,1.51,64.35,62.83,2023033114
景嘉微,300474,36.7,121.8,3.88,121.25,123.2,2023033114
中国电信,601728,35.8,6.34,4.28,50.95,51.31,2023033114
工业富联,601138,35.2,17.29,2.43,90.63,88.34,2023033114
寒武纪-U,688256,34.5,185.0,5.05,232.73,239.08,2023033114
蓝色光标,300058,34.1,9.5,9.32,96.28,88.12,2023033114
中科曙光,603019,33.9,38.28,0.42,74.87,72.9,2023033114
四川长虹,600839,33.5,4.71,10.05,79.77,78.41,2023033114
中际旭创,300308,32.5,59.7,8.55,119.97,120.87,2023033114
东方财富,300059,31.8,20.05,0.05,3.51,3.35,2023033114
中兴通讯,63,31.3,32.59,3.13,27.55,26.02,2023033114
大华股份,2236,30.7,22.61,10.02,99.56,99.91,2023033114
中文在线,300364,30.5,22.39,9.75,141.79,125.71,2023033114
东方国信,300166,30.3,14.84,2.13,89.04,85.73,2023033114
三安光电,600703,29.7,21.13,2.37,23.64,23.14,2023033114
海光信息,688041,28.8,76.5,0.0,88.42,90.68,2023033114
深科技,21,27.4,16.6,6.14,55.87,55.29,2023033114
金山办公,688111,27.3,473.9,7.98,77.49,79.18,2023033114
兆易创新,603986,27.2,121.43,0.09,17.7,18.5,2023033114
世纪华通,2602,26.6,6.01,9.87,60.7,57.74,2023033114
新易盛,300502,25.8,48.9,7.33,107.03,105.89,2023033114
中微公司,688012,25.8,148.06,5.76,48.58,51.07,2023033114
海康威视,2415,25.4,42.64,2.5,24.5,22.95,2023033114
恒生电子,600570,24.7,53.16,9.88,31.68,31.39,2023033114
中芯国际,688981,23.9,50.22,2.32,22.82,22.07,2023033114
北方华创,2371,23.3,265.79,0.69,16.76,17.97,2023033114
常山北明,158,21.6,9.09,6.94,62.32,61.74,2023033114
剑桥科技,603083,21.2,38.15,-0.81,242.15,239.41,2023033114
中国联通,600050,21.1,5.42,2.46,20.18,20.98,2023033114
易华录,300212,20.8,37.66,3.6,86.07,84.52,2023033114
软通动力,301236,19.7,49.49,5.3,39.76,40.68,2023033114
用友网络,600588,19.7,25.18,6.07,5.8,4.18,2023033114
神州泰岳,300002,19.1,9.47,14.23,121.26,118.2,2023033114
同方股份,600100,18.8,7.83,6.53,83.37,81.67,2023033114
紫金矿业,601899,18.6,12.39,1.14,25.91,23.9,2023033114
亿纬锂能,300014,18.3,69.74,1.57,-22.43,-20.66,2023033114
电科网安,2268,18.1,39.1,0.05,27.44,28.07,2023033114
三七互娱,2555,17.7,28.4,6.89,60.91,56.91,2023033114
沪电股份,2463,17.7,21.45,1.47,82.55,80.25,2023033114
东华软件,2065,17.5,8.26,1.6,46.71,45.94,2023033114
澜起科技,688008,17.5,69.31,-0.99,8.89,10.72,2023033114
歌尔股份,2241,16.2,21.4,0.47,26.85,27.15,2023033114
光环新网,300383,16.0,13.28,5.99,64.15,62.75,2023033114
中国软件,600536,15.8,68.95,3.72,18.96,18.21,2023033114
美亚柏科,300188,15.6,20.66,5.95,61.15,60.65,2023033114
石基信息,2153,15.3,25.7,4.09,72.37,71.45,2023033114
立昂微,605358,15.1,54.28,2.03,26.64,27.42,2023033114
中天科技,600522,15.0,17.06,-0.06,7.5,5.63,2023033114
鸿博股份,2229,14.6,15.63,1.3,139.36,135.04,2023033114
润和软件,300339,14.6,25.99,3.46,41.17,39.96,2023033114
神州数码,34,14.5,31.47,4.1,43.96,43.44,2023033114
晶瑞电材,300655,14.3,23.35,0.21,60.26,59.06,2023033114
长江电力,600900,14.0,21.26,0.19,2.21,1.24,2023033114
云从科技-UW,688327,13.9,46.0,12.2,195.44,200.46,2023033114
华工科技,988,13.7,25.44,5.6,56.27,55.03,2023033114
紫光国微,2049,64.5,111.9,7.29,-16.4,-15.11,2023033014
兆易创新,603986,58.7,121.86,5.95,18.08,18.92,2023033014
比亚迪,2594,48.3,256.72,3.64,0.82,-0.1,2023033014
昆仑万维,300418,46.5,38.59,2.69,174.27,167.8,2023033014
工业富联,601138,46.4,16.82,4.08,83.42,83.22,2023033014
景嘉微,300474,45.7,116.88,7.47,116.73,114.18,2023033014
拓维信息,2261,42.0,15.66,-0.06,142.79,136.2,2023033014
海光信息,688041,39.0,75.67,1.57,86.93,88.61,2023033014
汤姆猫,300459,35.2,7.69,0.65,151.31,144.13,2023033014
寒武纪-U,688256,34.6,174.0,1.16,211.38,218.91,2023033014
长江电力,600900,32.3,21.23,2.46,2.71,1.1,2023033014
东方国信,300166,32.2,14.48,5.93,85.17,81.23,2023033014
中油资本,617,30.4,7.01,6.21,24.07,25.85,2023033014
东方财富,300059,28.4,19.98,0.05,3.42,2.99,2023033014
电科网安,2268,28.0,39.15,3.98,30.46,28.23,2023033014
美的集团,333,28.0,54.46,5.95,4.63,5.14,2023033014
五 粮 液,858,27.9,198.12,1.45,9.96,9.65,2023033014
隆基绿能,601012,25.8,40.45,1.05,-5.49,-4.28,2023033014
