名称,代码,成交额,最新价,涨跌幅,60日涨跌幅,年初至今涨跌幅,dt
中际旭创,300308,40.9,52.02,4.04,95.71,92.45,2023032414
拓维信息,2261,38.8,14.04,10.03,123.21,111.76,2023032414
蓝色光标,300058,37.1,9.81,5.94,101.44,94.26,2023032414
同花顺,300033,34.9,175.38,4.45,79.91,77.85,2023032414
金山办公,688111,34.8,395.04,9.48,64.67,49.36,2023032414
澜起科技,688008,33.9,70.04,1.51,9.39,11.88,2023032414
润和软件,300339,33.1,26.64,5.13,49.41,43.46,2023032414
沪电股份,2463,32.5,21.7,3.63,84.21,82.35,2023032414
寒武纪-U,688256,32.1,182.41,9.23,218.95,234.33,2023032414
大华股份,2236,28.2,22.45,3.89,91.55,98.5,2023032414
易华录,300212,26.9,34.6,6.79,74.75,69.52,2023032414
张江高科,600895,26.4,18.58,3.63,55.61,63.84,2023032414
隆基绿能,601012,26.3,40.01,1.27,-2.08,-5.32,2023032414
用友网络,600588,25.4,25.98,4.34,20.33,7.49,2023032414
深科技,21,25.2,15.24,7.4,44.32,42.56,2023032414
阳光电源,300274,25.0,101.38,1.38,7.63,-9.32,2023032414
世纪华通,2602,24.2,5.17,1.97,35.34,35.7,2023032414
中航电测,300114,24.1,54.0,4.63,437.31,426.32,2023032414
东方国信,300166,21.6,12.24,12.19,56.72,53.19,2023032414
二三四五,2195,21.1,3.34,4.05,67.84,66.17,2023032414
三七互娱,2555,21.1,28.09,6.04,64.65,55.19,2023032414
汉王科技,2362,20.5,34.61,0.64,119.05,122.86,2023032414
紫光股份,938,19.9,31.6,1.09,67.55,61.97,2023032414
中国软件,600536,18.9,70.86,0.3,26.92,21.48,2023032414
比亚迪,2594,18.6,246.16,0.27,-5.03,-4.21,2023032414
联络互动,2280,18.5,4.39,7.33,56.79,57.91,2023032414
科士达,2518,17.7,44.27,7.95,-6.5,-23.14,2023032414
韦尔股份,603501,17.6,94.38,2.59,17.95,22.43,2023032414
剑桥科技,603083,17.4,29.94,9.99,167.56,166.37,2023032414
天娱数科,2354,17.4,6.59,2.49,60.73,68.54,2023032414
常山北明,158,16.7,8.5,9.96,52.88,51.25,2023032414
新易盛,300502,16.6,39.25,0.74,69.18,65.26,2023032414
英飞拓,2528,16.6,12.65,0.96,66.01,12.75,2023032414
人民网,603000,16.5,18.53,4.45,17.43,9.84,2023032414
传音控股,688036,16.5,108.18,0.39,41.26,36.04,2023032414
神州泰岳,300002,16.3,8.43,6.17,104.61,94.24,2023032414
视觉中国,681,16.2,18.04,1.29,55.12,46.67,2023032414
特发信息,70,16.2,10.42,9.92,61.55,50.58,2023032414
光环新网,300383,15.8,12.55,2.12,54.18,53.8,2023032414
完美世界,2624,15.8,16.93,4.18,32.99,33.1,2023032414
万兴科技,300624,15.6,76.94,7.17,169.96,162.06,2023032414
亨通光电,600487,15.6,15.7,0.9,9.71,4.25,2023032414
同方股份,600100,15.5,7.06,9.97,66.51,63.81,2023032414
华大九天,301269,15.4,122.21,2.72,35.94,35.68,2023032414
四川长虹,600839,15.2,3.64,9.97,37.36,37.88,2023032414
神州数码,34,15.1,31.13,2.23,48.1,41.89,2023032414
全志科技,300458,14.9,28.83,1.09,33.47,41.6,2023032414
闻泰科技,600745,14.9,56.61,0.21,6.95,7.66,2023032414
中科创达,300496,14.8,115.65,0.39,10.15,15.3,2023032414
中国中免,601888,14.1,186.7,1.16,-15.54,-13.58,2023032414
通威股份,600438,14.0,39.01,1.14,2.25,1.11,2023032414
宣亚国际,300612,13.9,27.85,1.9,64.79,51.11,2023032414
四维图新,2405,13.9,14.3,2.66,29.53,29.76,2023032414
浪潮信息,977,88.8,38.05,10.0,78.81,76.81,2023032316
科大讯飞,2230,82.9,56.71,10.01,77.89,72.74,2023032316
三六零,601360,62.8,15.25,1.67,135.34,133.18,2023032316
工业富联,601138,60.2,16.99,5.79,81.71,85.08,2023032316
中国电信,601728,60.1,6.89,2.84,66.43,64.44,2023032316
中兴通讯,63,57.7,36.6,2.46,45.58,41.53,2023032316
紫光国微,2049,56.7,110.13,10.0,-12.68,-16.45,2023032316
东方财富,300059,54.6,19.55,2.89,3.71,0.77,2023032316
中科曙光,603019,53.7,38.18,2.25,73.47,72.45,2023032316
歌尔股份,2241,50.6,22.15,4.53,26.72,31.61,2023032316
汤姆猫,300459,47.6,7.1,5.34,127.56,125.4,2023032316
中芯国际,688981,47.1,52.32,0.04,26.71,27.18,2023032316
拓维信息,2261,47.0,12.76,4.68,100.0,92.46,2023032316
海康威视,2415,46.2,44.8,4.67,33.1,29.18,2023032316
拓尔思,300229,45.5,27.38,8.91,137.67,133.62,2023032316
中际旭创,300308,44.5,50.0,13.12,84.64,84.98,2023032316
兆易创新,603986,43.9,116.66,10.0,15.25,13.85,2023032316
中天科技,600522,41.6,17.44,2.77,17.36,7.99,2023032316
长电科技,600584,39.7,33.83,3.17,41.61,46.77,2023032316
昆仑万维,300418,37.7,33.79,1.78,142.74,134.49,2023032316
澜起科技,688008,36.5,69.0,9.3,6.75,10.22,2023032316
中国卫通,601698,35.2,24.59,10.02,118.77,115.32,2023032316
通富微电,2156,34.2,25.22,6.41,35.96,53.03,2023032316
寒武纪-U,688256,33.8,167.0,4.28,185.32,206.09,2023032316
新易盛,300502,32.8,38.96,5.16,65.44,64.04,2023032316
紫光股份,938,32.6,31.26,6.4,66.1,60.23,2023032316
金山办公,688111,31.9,360.82,10.71,49.74,36.42,2023032316
大华股份,2236,31.8,21.61,5.41,87.1,91.07,2023032316
鹏鼎控股,2938,31.5,33.15,5.37,21.21,20.81,2023032316
沪电股份,2463,31.5,20.94,9.98,76.71,75.97,2023032316
蓝色光标,300058,30.4,9.26,1.2,88.98,83.37,2023032316
中国联通,600050,29.2,5.77,1.76,27.37,28.79,2023032316
中国中铁,601390,28.2,7.63,4.52,35.04,37.23,2023032316
北方华创,2371,28.1,268.35,0.31,17.7,19.11,2023032316
京东方Ａ,725,27.7,4.46,2.29,30.41,31.95,2023032316
五 粮 液,858,25.8,194.58,1.47,11.51,7.69,2023032316
张江高科,600895,24.8,17.93,0.5,50.67,58.11,2023032316
紫金矿业,601899,24.2,12.14,3.41,21.77,21.4,2023032316
中国卫星,600118,23.8,31.2,3.83,47.52,44.78,2023032316
比亚迪,2594,23.7,245.49,0.94,-5.87,-4.47,2023032316
中航电测,300114,23.5,51.61,5.98,409.98,403.02,2023032316
闻泰科技,600745,23.4,56.49,4.05,4.88,7.44,2023032316
汉王科技,2362,23.2,34.39,5.88,106.42,121.44,2023032316
立讯精密,2475,22.6,29.33,1.63,-3.9,-7.62,2023032316
润和软件,300339,22.0,25.34,-0.55,42.36,36.46,2023032316
用友网络,600588,21.6,24.9,2.77,16.14,3.02,2023032316
韦尔股份,603501,21.6,92.0,5.37,13.71,19.34,2023032316
中国软件,600536,21.4,70.65,3.35,25.49,21.12,2023032316
中国铁建,601186,20.9,9.81,3.26,24.18,26.91,2023032316
易华录,300212,20.3,32.4,6.02,63.39,58.75,2023032316
视觉中国,681,20.2,17.81,4.64,48.17,44.8,2023032316
海光信息,688041,20.0,66.2,0.41,63.42,65.0,2023032316
中远海控,601919,20.0,11.44,3.06,7.02,11.18,2023032316
中国长城,66,19.2,14.65,3.02,42.1,43.63,2023032316
全志科技,300458,18.6,28.52,5.55,28.06,40.08,2023032316
光环新网,300383,18.2,12.29,-0.16,49.7,50.61,2023032316
晶方科技,603005,17.8,25.61,3.06,27.92,38.06,2023032316
北方国际,65,17.7,16.04,1.78,92.1,94.42,2023032316
传音控股,688036,17.7,107.76,17.0,36.44,35.51,2023032316
士兰微,600460,17.1,36.35,3.09,5.7,10.86,2023032316
大族激光,2008,17.0,31.29,5.57,21.0,21.99,2023032316
深桑达Ａ,32,16.7,36.26,4.53,72.34,79.95,2023032316
胜宏科技,300476,16.6,19.74,7.81,50.0,52.55,2023032316
泸州老窖,568,16.5,244.04,0.89,14.91,8.81,2023032316
隆基绿能,601012,16.5,39.51,0.33,-9.4,-6.51,2023032316
中国交建,601800,16.5,11.8,4.52,42.68,46.58,2023032316
中国建筑,601668,16.3,6.18,1.48,13.19,13.81,2023032316
南大光电,300346,16.3,36.83,5.2,22.73,26.78,2023032316
三安光电,600703,16.2,20.19,2.7,16.98,17.66,2023032316
深南电路,2916,16.2,98.86,8.49,35.87,37.02,2023032316
中科创达,300496,16.0,115.2,11.87,10.46,14.86,2023032316
