stock,inter,topic
海光信息[85.88/1.27%],三六零(20.08/4.58%)[6];拓尔思(33.6/-0.59%)[4];工业富联(17.41/-1.97%)[4];易华录(46.5/16.63%)[3],AI[4];芯片[4];浙商[3];算力[3];国产[3]
歌尔股份[22.38/2.57%],立讯精密(30.77/0.62%)[2],AI[3];赋能[2];苹果[2]
四川长虹[5.04/-0.4%],神州数码(31.6/-3.33%)[7];拓维信息(15.67/-6.62%)[6];润和软件(30.53/0.73%)[4];东方国信(14.42/-6.49%)[3];常山北明(9.3/-3.23%)[2],华为[8];模型[5];盘古[5];最强[3];AI[3]
同方股份[8.45/-1.63%],同有科技(11.6/3.76%)[5];中国科传(19.1/-2.45%)[5];三六零(20.08/4.58%)[4];兆易创新(130.56/-0.74%)[3];海光信息(85.88/1.27%)[3],数据[4];科技[3];汇纳[2];模型[2];最大[2]
北方华创[283.33/1.23%],中微公司(165.8/1.16%)[3];中芯国际(56.66/3.81%)[2];露笑科技(9.18/-0.22%)[2];士兰微(38.05/1.41%)[2],半导体[6];设备[6];日本[3];AI[2];朝闻[2]
大华股份[25.67/4.99%],昆仑万维(49.5/-2.27%)[4];海康威视(44.91/5.84%)[3];金山办公(486.51/-4.96%)[2];汤姆猫(8.55/-0.81%)[2];科大讯飞(65.9/-4.91%)[2],AI[4];行业[3];电子[2];逻辑[2];智能[2]
沪电股份[23.41/4.09%],工业富联(17.41/-1.97%)[4];东山精密(29.22/-1.22%)[2];环旭电子(18.3/1.1%)[2];中际旭创(67.1/-0.21%)[2];长飞光纤(39.32/-2.24%)[2],PCB[3];错过[2];中信[2];电子[2];数通[2]
隆基绿能[40.19/-1.08%],,光伏[6];通电[2];电池[2];价格[2]
中国建筑[6.16/5.3%],中国铁建(10.09/9.79%)[2];中国中铁(7.68/10.03%)[2];中国交建(11.65/9.29%)[2],一带[2];一路[2];天风[2]
世纪华通[6.5/0.78%],完美世界(19.14/2.9%)[8];三七互娱(31.66/2.56%)[8];昆仑万维(49.5/-2.27%)[4];金山办公(486.51/-4.96%)[4];四维图新(14.98/2.67%)[4],AI[6];中国[5];微软[4];GDC[4];游戏[4]
软通动力[52.1/-5.41%],润和软件(30.53/0.73%)[5];拓维信息(15.67/-6.62%)[4];四川长虹(5.04/-0.4%)[4];特发信息(10.66/-1.3%)[3];创业黑马(31.98/-12.0%)[2],华为[7];模型[5];盘古[5];AI[3];技术[3]
亿纬锂能[67.34/-2.41%],宁德时代(388.0/-2.69%)[4];恩捷股份(112.06/-1.63%)[4];璞泰来(49.1/-1.31%)[2];振华新材(39.44/-3.1%)[2];科达利(126.71/-3.27%)[2],美国[2];IRA[2];明确[2];指引[2];电动车[2]
闻泰科技[57.42/1.48%],,
